run_tag,text_file,base,pattern_len,regime,repeats,cpu_search_ms_median,cpu_search_ms_cv,cpu_preproc_ms,file_read_ms,gpu_upload_ms_median,gpu_upload_ms_cv,h2d_ms,kernel_ms_median,kernel_ms_cv,d2h_ms,gpu_query_wall_ms_median,gpu_query_wall_ms_cv,cpu_total_ms,gpu_total_ms,speedup,found_total,overflow,same_indices,text_bytes,probes,filter_candidates,chain_verifications,memcmp_calls,matches
"benchmark-example:dna","bd/dna.100MB","DNA",16,warm,30,23.5989,6.7234,0.0003,0.0000,0.0000,0.0000,0.0000,13.7927,26.6147,0.0189,14.6033,25.7624,23.5989,14.6033,1.6160,3,0,1,104858217,11699827,55030,884,4,3
"benchmark-example:dna","bd/dna.100MB","DNA",16,cold,30,23.5989,6.7234,0.0003,88.7723,10.7416,4.5511,0.0000,13.7927,26.6147,0.0189,14.6033,25.7624,112.3715,114.1173,0.9847,3,0,1,104858217,11699827,55030,884,4,3
"benchmark-example:english","bd/english.100MB","English",64,warm,30,6.0952,5.1891,0.0004,0.0000,0.0000,0.0000,0.0000,2.0311,0.8249,0.0128,2.5513,3.5656,6.0952,2.5513,2.3891,2,0,1,104857600,1843286,25292,2,2,2
"benchmark-example:english","bd/english.100MB","English",64,cold,30,6.0952,5.1891,0.0004,81.0380,10.7347,10.4536,0.0000,2.0311,0.8249,0.0128,2.5513,3.5656,87.1336,94.3239,0.9238,2,0,1,104857600,1843286,25292,2,2,2
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,warm,30,9.3586,7.0891,0.0003,0.0000,0.0000,0.0000,0.0000,4.0160,0.7408,0.0131,4.6150,2.2126,9.3586,4.6150,2.0279,1,0,1,105217104,4218512,29849,1,1,1
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,cold,30,9.3586,7.0891,0.0003,80.5129,10.4480,5.8754,0.0000,4.0160,0.7408,0.0131,4.6150,2.2126,89.8718,95.5759,0.9403,1,0,1,105217104,4218512,29849,1,1,1
"benchmark-example:dna-extra-8","bd/dna.100MB","DNA",8,warm,30,205.8844,12.3186,0.0002,0.0000,0.0000,0.0000,0.0000,52.6786,21.8282,0.0125,53.4682,21.6424,205.8844,53.4682,3.8506,3211,0,1,104858217,104858210,36021,36021,22729,3211
"benchmark-example:dna-extra-32","bd/dna.100MB","DNA",32,warm,30,12.0677,17.0111,0.0004,0.0000,0.0000,0.0000,0.0000,4.1540,2.2768,0.0131,4.8439,3.6182,12.0677,4.8439,2.4913,1,0,1,104858217,4205802,34690,1,1,1
"benchmark-example:dna-extra-64","bd/dna.100MB","DNA",64,warm,30,7.0694,12.0089,0.0003,0.0000,0.0000,0.0000,0.0000,2.2369,0.6798,0.0128,2.8170,2.8397,7.0694,2.8170,2.5095,1,0,1,104858217,1847194,48506,1,1,1
"benchmark-example:dna-extra-128","bd/dna.100MB","DNA",128,warm,30,4.9299,8.8366,0.0005,0.0000,0.0000,0.0000,0.0000,1.2611,1.0228,0.0128,1.8030,4.8919,4.9299,1.8030,2.7343,1,0,1,104858217,869433,40452,1,1,1
"benchmark-example:english-extra-8","bd/english.100MB","English",8,warm,30,204.5579,8.7220,0.0002,0.0000,0.0000,0.0000,0.0000,52.7290,13.9656,0.0125,53.4136,13.8516,204.5579,53.4136,3.8297,3475,0,1,104857600,104857593,29404,29404,15132,3475
"benchmark-example:english-extra-16","bd/english.100MB","English",16,warm,30,22.8567,6.3425,0.0006,0.0000,0.0000,0.0000,0.0000,9.7078,28.0409,0.0138,10.4315,27.1550,22.8567,10.4315,2.1911,1,0,1,104857600,11675448,27680,817,3,1
"benchmark-example:english-extra-32","bd/english.100MB","English",32,warm,30,9.1345,8.4519,0.0003,0.0000,0.0000,0.0000,0.0000,3.9575,0.9602,0.0131,4.5168,2.9596,9.1345,4.5168,2.0223,1,0,1,104857600,4203195,26883,1,1,1
"benchmark-example:english-extra-128","bd/english.100MB","English",128,warm,30,4.9816,12.8548,0.0005,0.0000,0.0000,0.0000,0.0000,1.2294,0.6929,0.0128,1.7233,4.2850,4.9816,1.7233,2.8908,1,0,1,104857600,868536,28449,1,1,1
"benchmark-example:protein-extra-8","bd/proteins.100MB","Proteins",8,warm,30,183.8216,3.8851,0.0003,0.0000,0.0000,0.0000,0.0000,65.2373,11.5134,0.0146,66.1195,11.4522,183.8216,66.1195,2.7801,1,0,1,105217104,105217097,25733,25733,25523,1
"benchmark-example:protein-extra-16","bd/proteins.100MB","Proteins",16,warm,30,22.7869,9.3524,0.0004,0.0000,0.0000,0.0000,0.0000,16.8529,25.6567,0.0245,17.6578,25.0647,22.7869,17.6578,1.2905,1,0,1,105217104,11715571,27881,1278,3,1
"benchmark-example:protein-extra-64","bd/proteins.100MB","Proteins",64,warm,30,6.0936,6.2818,0.0005,0.0000,0.0000,0.0000,0.0000,2.7909,1.6653,0.0128,3.3166,2.3134,6.0936,3.3166,1.8373,55,0,1,105217104,1850999,30893,55,55,55
"benchmark-example:protein-extra-128","bd/proteins.100MB","Proteins",128,warm,30,4.8739,7.2401,0.0006,0.0000,0.0000,0.0000,0.0000,1.8260,0.4098,0.0128,2.3414,2.5293,4.8739,2.3414,2.0817,24,0,1,105217104,871912,30337,24,24,24
